escola,municipio,estado,ano,arquivo,disciplina,acertos_medios,total_questoes,percentual_acertos,proficiencia,nivel
ESCOLA MUNICIPAL MARIA SEMEDO DE ANDRADE,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL MARIA SEMEDO DE ANDRADE\Consolidado Saex - 2º ANO.pdf,Língua Portuguesa,16.0,22.0,70.45,61.3,Aprendizado intermediário
ESCOLA MUNICIPAL MARIA SEMEDO DE ANDRADE,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL MARIA SEMEDO DE ANDRADE\Consolidado Saex - 2º ANO.pdf,Matemática,20.0,22.0,89.29,81.2,Aprendizado adequado
ESCOLA MUNICIPAL MARIA SEMEDO DE ANDRADE,MENDES,RIO DE JANEIRO,3º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL MARIA SEMEDO DE ANDRADE\Consolidado Saex - 3º ANO.pdf,Língua Portuguesa,13.0,22.0,59.74,37.8,Aprendizado intermediário
ESCOLA MUNICIPAL MARIA SEMEDO DE ANDRADE,MENDES,RIO DE JANEIRO,3º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL MARIA SEMEDO DE ANDRADE\Consolidado Saex - 3º ANO.pdf,Matemática,15.0,22.0,68.88,51.6,Aprendizado intermediário
ESCOLA MUNICIPAL MARIA SEMEDO DE ANDRADE,MENDES,RIO DE JANEIRO,4º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL MARIA SEMEDO DE ANDRADE\Consolidado Saex - 4º ANO.pdf,Língua Portuguesa,14.0,22.0,64.62,56.6,Aprendizado intermediário
ESCOLA MUNICIPAL MARIA SEMEDO DE ANDRADE,MENDES,RIO DE JANEIRO,4º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL MARIA SEMEDO DE ANDRADE\Consolidado Saex - 4º ANO.pdf,Matemática,13.0,22.0,60.47,50.1,Aprendizado intermediário
ESCOLA MUNICIPAL MARIA SEMEDO DE ANDRADE,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL MARIA SEMEDO DE ANDRADE\Consolidado Saex - 5º ANO.pdf,Língua Portuguesa,10.0,22.0,46.24,35.6,Aprendizado intermediário
ESCOLA MUNICIPAL MARIA SEMEDO DE ANDRADE,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL MARIA SEMEDO DE ANDRADE\Consolidado Saex - 5º ANO.pdf,Matemática,10.0,22.0,45.45,34.2,Aprendizado intermediário
ESCOLA MUNICIPALIADA JAYME SICILIANO,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPALIADA JAYME SICILIANO\Consolidado Saex - 2º ANO.pdf,Língua Portuguesa,14.0,22.0,64.03,51.4,Aprendizado intermediário
ESCOLA MUNICIPALIADA JAYME SICILIANO,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPALIADA JAYME SICILIANO\Consolidado Saex - 2º ANO.pdf,Matemática,16.0,22.0,72.86,49.8,Aprendizado intermediário
