escola,municipio,estado,ano,arquivo,disciplina,percentual_acertos,codigo,habilidade
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,4º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 4º ANO.pdf,Língua Portuguesa,70,D012_P,"Identificar efeito de sentido decorrente de recursos gráficos, seleção lexical e repetição."
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,4º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 4º ANO.pdf,Língua Portuguesa,68,D023_P,Inferir informações em textos.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,4º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 4º ANO.pdf,Língua Portuguesa,60,D022_P,Inferir o sentido de palavra ou expressão a partir do contexto.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,4º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 4º ANO.pdf,Língua Portuguesa,58,D016_P,Identificar a finalidade de textos de diferentes gêneros.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,4º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 4º ANO.pdf,Língua Portuguesa,55,D025_P,Reconhecer efeitos de sentido decorrentes do uso ou função da pontuação e de outras notações. (Matemática):
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,4º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 4º ANO.pdf,Matemática,28,D045_M,Reconhecer horas em relógios digitais e/ou analógicos.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,4º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 4º ANO.pdf,Matemática,15,D028_M,"Identificar instrumentos utilizados para medir determinadas grandezas (massa, comprimento, capacidade, tempo e temperatura)."
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,4º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 4º ANO.pdf,Matemática,47,D023_M,Identificar composições ou decomposições de números naturais.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,4º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 4º ANO.pdf,Matemática,40,D011_M,Corresponder o horário de início e de término com o intervalo de duração de um evento ou acontecimento.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,4º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 4º ANO.pdf,Matemática,40,D067_M,"Utilizar números naturais, envolvendo diferentes significados da multiplicação ou da divisão, na resolução de problemas."
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,4º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 4º ANO.pdf,Matemática,53,D066_M,"Utilizar números naturais, envolvendo diferentes significados da adição ou da subtração, na resolução de problemas."
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,4º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 4º ANO.pdf,Matemática,70,D007_M,Corresponder números naturais a pontos da reta numérica.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,4º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 4º ANO.pdf,Matemática,70,D017_M,Executar adição ou subtração com números naturais.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,4º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 4º ANO.pdf,Matemática,70,D042_M,Reconhecer características do sistema de numeração decimal.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,4º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 4º ANO.pdf,Matemática,90,D022_M,Identificar a localização ou a movimentação de pessoas ou objetos em uma representação plana do espaço.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,4º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 4º ANO.pdf,Matemática,90,D024_M,Identificar dados apresentados por meio de gráficos.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,4º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 4º ANO.pdf,Matemática,90,D033_M,Identificar representações de figuras tridimensionais.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,4º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 4º ANO.pdf,Matemática,80,D027_M,Identificar informações a partir de dados dispostos em tabelas.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,4º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 4º ANO.pdf,Matemática,80,D008_M,Corresponder números naturais à sua escrita por extenso.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,4º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 4º ANO.pdf,Matemática,65,D029_M,Identificar números naturais segundo critérios de ordem.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,4º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 4º ANO.pdf,Matemática,58,D056_M,Utilizar conversão entre unidades de medidas de tempo na resolução de problema.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 5º ANO.pdf,Língua Portuguesa,78,D017_P,Reconhecer o gênero de um texto.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 5º ANO.pdf,Língua Portuguesa,70,D012_P,"Identificar efeito de sentido decorrente de recursos gráficos, seleção lexical e repetição."
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 5º ANO.pdf,Língua Portuguesa,68,D023_P,Inferir informações em textos.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 5º ANO.pdf,Língua Portuguesa,63,D030_P,Reconhecer os elementos que compõem uma narrativa e o conflito gerador.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 5º ANO.pdf,Língua Portuguesa,60,D057_P,Interpretar textos que articulam elementos verbais e não verbais.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 5º ANO.pdf,Língua Portuguesa,48,D021_P,Localizar informação explícita.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 5º ANO.pdf,Língua Portuguesa,43,D022_P,Inferir o sentido de palavra ou expressão a partir do contexto.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 5º ANO.pdf,Língua Portuguesa,43,D037_P,"Reconhecer as relações entre partes de um texto, identificando os recursos coesivos que contribuem para a sua continuidade."
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 5º ANO.pdf,Língua Portuguesa,40,D039_P,Reconhecer o sentido das relações lógico-discursivas em um texto.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 5º ANO.pdf,Língua Portuguesa,38,D016_P,Identificar a finalidade de textos de diferentes gêneros.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 5º ANO.pdf,Língua Portuguesa,25,D028_P,Reconhecer o assunto de um texto lido. (Matemática):
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 5º ANO.pdf,Matemática,90,D022_M,Identificar a localização ou a movimentação de pessoas ou objetos em uma representação plana do espaço.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 5º ANO.pdf,Matemática,95,D007_M,Corresponder números naturais a pontos da reta numérica.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 5º ANO.pdf,Matemática,95,D080_M,Utilizar perímetro de figuras bidimensionais na resolução de problema.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 5º ANO.pdf,Matemática,30,D009_M,Corresponder números racionais a pontos da reta numérica.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 5º ANO.pdf,Matemática,15,D010_M,Corresponder números racionais na representação decimal à sua escrita por extenso.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 5º ANO.pdf,Matemática,60,D037_M,"Identificar uma sequência crescente ou decrescente, dentre uma coleção de sequências de números naturais."
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 5º ANO.pdf,Matemática,50,D045_M,Reconhecer horas em relógios digitais e/ou analógicos.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 5º ANO.pdf,Matemática,35,D011_M,Corresponder o horário de início e de término com o intervalo de duração de um evento ou acontecimento.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 5º ANO.pdf,Matemática,65,D065_M,"Utilizar números naturais e racionais, envolvendo diferentes significados da adição ou da subtração, na resolução de problemas."
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 5º ANO.pdf,Matemática,75,D066_M,"Utilizar números naturais, envolvendo diferentes significados da adição ou da subtração, na resolução de problemas."
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 5º ANO.pdf,Matemática,75,D042_M,Reconhecer características do sistema de numeração decimal.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 5º ANO.pdf,Matemática,70,D012_M,Corresponder objetos em uma representação plana do espaço à sua localização descrita por meio de um par ordenado.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 5º ANO.pdf,Matemática,85,D033_M,Identificar representações de figuras tridimensionais.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 5º ANO.pdf,Matemática,85,D044_M,Reconhecer fração como representação associada a diferentes significados.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 5º ANO.pdf,Matemática,85,D055_M,"Utilizar conversão entre unidades de medida, na resolução de problema."
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 5º ANO.pdf,Matemática,85,D008_M,Corresponder números naturais à sua escrita por extenso.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 5º ANO.pdf,Matemática,80,D015_M,Determinar o número desconhecido que torna verdadeira uma igualdade matemática envolvendo representação simbólica.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 5º ANO.pdf,Matemática,70,D026_M,Identificar frações equivalentes.
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 5º ANO.pdf,Matemática,65,D031_M,"Identificar polígonos de acordo com as características dos seus lados, vértices e ângulos internos."
ESCOLA MUNICIPAL ANTONIO DE FREITAS,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANTONIO DE FREITAS\Consolidado Saex - 2º ANO.pdf,Língua Portuguesa,93,D007_P,Identificar o número de sílabas de uma palavra.
ESCOLA MUNICIPAL ANTONIO DE FREITAS,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANTONIO DE FREITAS\Consolidado Saex - 2º ANO.pdf,Língua Portuguesa,80,D014_P,Identificar variações de sons de grafemas.
ESCOLA MUNICIPAL ANTONIO DE FREITAS,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANTONIO DE FREITAS\Consolidado Saex - 2º ANO.pdf,Língua Portuguesa,73,D009_P,Ler palavras formadas por sílabas canônicas.
ESCOLA MUNICIPAL ANTONIO DE FREITAS,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANTONIO DE FREITAS\Consolidado Saex - 2º ANO.pdf,Língua Portuguesa,67,D002_P,Reconhecer as letras do alfabeto.
ESCOLA MUNICIPAL ANTONIO DE FREITAS,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANTONIO DE FREITAS\Consolidado Saex - 2º ANO.pdf,Língua Portuguesa,63,D003_P,Reconhecer as diferentes formas de grafar uma mesma letra ou palavra.
ESCOLA MUNICIPAL ANTONIO DE FREITAS,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANTONIO DE FREITAS\Consolidado Saex - 2º ANO.pdf,Língua Portuguesa,60,D010_P,Ler palavras formadas por sílabas não canônicas.
ESCOLA MUNICIPAL ANTONIO DE FREITAS,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANTONIO DE FREITAS\Consolidado Saex - 2º ANO.pdf,Língua Portuguesa,47,D006_P,Identificar rimas.
ESCOLA MUNICIPAL ANTONIO DE FREITAS,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANTONIO DE FREITAS\Consolidado Saex - 2º ANO.pdf,Língua Portuguesa,43,D017_P,Reconhecer o gênero de um texto.
ESCOLA MUNICIPAL ANTONIO DE FREITAS,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANTONIO DE FREITAS\Consolidado Saex - 2º ANO.pdf,Língua Portuguesa,40,D008_P,Identificar sílabas de uma palavra.
ESCOLA MUNICIPAL ANTONIO DE FREITAS,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANTONIO DE FREITAS\Consolidado Saex - 2º ANO.pdf,Língua Portuguesa,37,D005_P,Identificar a unidade palavra em frases.
ESCOLA MUNICIPAL ANTONIO DE FREITAS,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANTONIO DE FREITAS\Consolidado Saex - 2º ANO.pdf,Língua Portuguesa,23,D013_P,Reconhecer o local de inserção de determinada palavra numa sequência em ordem alfabética.
ESCOLA MUNICIPAL ANTONIO DE FREITAS,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANTONIO DE FREITAS\Consolidado Saex - 2º ANO.pdf,Língua Portuguesa,20,D016_P,Identificar a finalidade de textos de diferentes gêneros.
ESCOLA MUNICIPAL ANTONIO DE FREITAS,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANTONIO DE FREITAS\Consolidado Saex - 2º ANO.pdf,Língua Portuguesa,13,D023_P,Inferir informações em textos. (Matemática):
ESCOLA MUNICIPAL ANTONIO DE FREITAS,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANTONIO DE FREITAS\Consolidado Saex - 2º ANO.pdf,Matemática,100,D033_M,Identificar representações de figuras tridimensionais.
ESCOLA MUNICIPAL ANTONIO DE FREITAS,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANTONIO DE FREITAS\Consolidado Saex - 2º ANO.pdf,Matemática,29,D056_M,Utilizar conversão entre unidades de medidas de tempo na resolução de problema.
ESCOLA MUNICIPAL ANTONIO DE FREITAS,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANTONIO DE FREITAS\Consolidado Saex - 2º ANO.pdf,Matemática,57,D005_M,Corresponder cédulas e/ou moedas do Sistema Monetário Brasileiro.
ESCOLA MUNICIPAL ANTONIO DE FREITAS,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANTONIO DE FREITAS\Consolidado Saex - 2º ANO.pdf,Matemática,57,D066_M,"Utilizar números naturais, envolvendo diferentes significados da adição ou da subtração, na resolução de problemas."
ESCOLA MUNICIPAL ANTONIO DE FREITAS,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANTONIO DE FREITAS\Consolidado Saex - 2º ANO.pdf,Matemática,50,D022_M,Identificar a localização ou a movimentação de pessoas ou objetos em uma representação plana do espaço.
ESCOLA MUNICIPAL ANTONIO DE FREITAS,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANTONIO DE FREITAS\Consolidado Saex - 2º ANO.pdf,Matemática,82,D032_M,Identificar representações de figuras bidimensionais.
ESCOLA MUNICIPAL ANTONIO DE FREITAS,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANTONIO DE FREITAS\Consolidado Saex - 2º ANO.pdf,Matemática,82,D016_M,Executar a contagem de um grupo de objetos/pessoas/animais.
ESCOLA MUNICIPAL ANTONIO DE FREITAS,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANTONIO DE FREITAS\Consolidado Saex - 2º ANO.pdf,Matemática,79,D003_M,"Comparar ou ordenar o objeto/pessoa/animal por meio dos atributos de comprimento, altura, espessura e tamanho."
ESCOLA MUNICIPAL ANTONIO DE FREITAS,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANTONIO DE FREITAS\Consolidado Saex - 2º ANO.pdf,Matemática,75,D027_M,Identificar informações a partir de dados dispostos em tabelas.
ESCOLA MUNICIPAL ANTONIO DE FREITAS,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANTONIO DE FREITAS\Consolidado Saex - 2º ANO.pdf,Matemática,71,D029_M,Identificar números naturais segundo critérios de ordem.
ESCOLA MUNICIPAL ANTONIO DE FREITAS,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANTONIO DE FREITAS\Consolidado Saex - 2º ANO.pdf,Matemática,46,D004_M,Comparar ou ordenar quantidades pela contagem.
ESCOLA MUNICIPAL ANTONIO DE FREITAS,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANTONIO DE FREITAS\Consolidado Saex - 2º ANO.pdf,Matemática,43,D017_M,Executar adição ou subtração com números naturais.
ESCOLA MUNICIPAL ANTONIO DE FREITAS,MENDES,RIO DE JANEIRO,3º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANTONIO DE FREITAS\Consolidado Saex - 3º ANO.pdf,Língua Portuguesa,77,D003_P,Reconhecer as diferentes formas de grafar uma mesma letra ou palavra.
ESCOLA MUNICIPAL ANTONIO DE FREITAS,MENDES,RIO DE JANEIRO,3º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANTONIO DE FREITAS\Consolidado Saex - 3º ANO.pdf,Língua Portuguesa,69,D008_P,Identificar sílabas de uma palavra.
ESCOLA MUNICIPAL ANTONIO DE FREITAS,MENDES,RIO DE JANEIRO,3º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANTONIO DE FREITAS\Consolidado Saex - 3º ANO.pdf,Língua Portuguesa,69,D009_P,Ler palavras formadas por sílabas canônicas.
